action,normalUser
SEND_PRESENT,122
VIDEO_CALL_INCOMING,62
VIDEO_CALL,5
VOTE,548
VOTE_PHOTO,11
CREATE_DOCUMENT,43961
DOCUMENT_DELETED,1803
GUEST,17460
LIKE,23359
LINK_CLICK,669
MARK_PHOTO,9819
PHOTO_TEXT,89
RE_SHARE,76
SEND_PRESENT,52
VIDEO_CALL_INCOMING,8
VIDEO_CALL,13
VOTE,1265
VOTE_PHOTO,184
CREATE_DOCUMENT,52865
DOCUMENT_DELETED,1725
GUEST,14708
LIKE,9131
LINK_CLICK,282
MARK_PHOTO,4505
PHOTO_TEXT,72
RE_SHARE,784
SEND_PRESENT,71
VIDEO_CALL_INCOMING,3
VIDEO_CALL,4
VOTE,545
VOTE_PHOTO,22
CREATE_DOCUMENT,43174
DOCUMENT_DELETED,1050
GUEST,17575
LIKE,14217
LINK_CLICK,433
MARK_PHOTO,3449
PHOTO_TEXT,46
RE_SHARE,145
SEND_PRESENT,23
VIDEO_CALL_INCOMING,15
VIDEO_CALL,20
VOTE,418
VOTE_PHOTO,6
CREATE_DOCUMENT,55308
DOCUMENT_DELETED,2620
GUEST,15475
LIKE,21345
LINK_CLICK,1040
MARK_PHOTO,1846
PHOTO_TEXT,178
RE_SHARE,721
SEND_PRESENT,7
VIDEO_CALL_INCOMING,22
VIDEO_CALL,60
VOTE,749
VOTE_PHOTO,433
CREATE_DOCUMENT,56621
DOCUMENT_DELETED,2066
GUEST,19179
LIKE,12081
LINK_CLICK,176
MARK_PHOTO,3901
PHOTO_TEXT,37
RE_SHARE,58
SEND_PRESENT,174
VIDEO_CALL_INCOMING,8
VIDEO_CALL,5
VOTE,247
VOTE_PHOTO,95
CREATE_DOCUMENT,39799
DOCUMENT_DELETED,2112
GUEST,17834
LIKE,35448
LINK_CLICK,244
MARK_PHOTO,2313
PHOTO_TEXT,31
RE_SHARE,977
SEND_PRESENT,12
VIDEO_CALL_INCOMING,14
VIDEO_CALL,16
VOTE,209
VOTE_PHOTO,102
CREATE_DOCUMENT,57521
DOCUMENT_DELETED,1566
GUEST,19443
LIKE,16850
LINK_CLICK,276
MARK_PHOTO,2509
PHOTO_TEXT,27
RE_SHARE,170
SEND_PRESENT,163
VIDEO_CALL_INCOMING,0
VIDEO_CALL,1
VOTE,312
VOTE_PHOTO,67
CREATE_DOCUMENT,42098
DOCUMENT_DELETED,1900
GUEST,14187
LIKE,16975
LINK_CLICK,182
MARK_PHOTO,4425
PHOTO_TEXT,71
RE_SHARE,94
SEND_PRESENT,128
VIDEO_CALL_INCOMING,20
VIDEO_CALL,4
VOTE,425
VOTE_PHOTO,58
CREATE_DOCUMENT,45606
DOCUMENT_DELETED,1873
GUEST,15823
LIKE,22668
LINK_CLICK,938
MARK_PHOTO,10210
PHOTO_TEXT,95
RE_SHARE,1786
SEND_PRESENT,180
VIDEO_CALL_INCOMING,2
VIDEO_CALL,16
VOTE,504
VOTE_PHOTO,65
CREATE_DOCUMENT,41243
DOCUMENT_DELETED,1086
GUEST,15431
LIKE,27476
LINK_CLICK,324
MARK_PHOTO,6059
PHOTO_TEXT,48
RE_SHARE,133
SEND_PRESENT,46
VIDEO_CALL_INCOMING,8
VIDEO_CALL,6
VOTE,319
VOTE_PHOTO,64
CREATE_DOCUMENT,52872
DOCUMENT_DELETED,2125
GUEST,14446
LIKE,18639
LINK_CLICK,190
MARK_PHOTO,4350
PHOTO_TEXT,41
RE_SHARE,331
SEND_PRESENT,69
VIDEO_CALL_INCOMING,16
VIDEO_CALL,5
VOTE,420
VOTE_PHOTO,1
CREATE_DOCUMENT,73264
DOCUMENT_DELETED,1319
GUEST,11241
LIKE,7784
LINK_CLICK,230
MARK_PHOTO,5775
PHOTO_TEXT,30
RE_SHARE,50
SEND_PRESENT,18
VIDEO_CALL_INCOMING,2
VIDEO_CALL,3
VOTE,233
VOTE_PHOTO,3
CREATE_DOCUMENT,45554
DOCUMENT_DELETED,2067
GUEST,27781
LIKE,13795
LINK_CLICK,457
MARK_PHOTO,9143
PHOTO_TEXT,162
RE_SHARE,56
SEND_PRESENT,84
VIDEO_CALL_INCOMING,0
VIDEO_CALL,15
VOTE,434
VOTE_PHOTO,17
CREATE_DOCUMENT,54535
DOCUMENT_DELETED,1664
GUEST,16932
LIKE,18828
LINK_CLICK,354
MARK_PHOTO,6183
PHOTO_TEXT,67
RE_SHARE,57
SEND_PRESENT,15
VIDEO_CALL_INCOMING,0
VIDEO_CALL,1
VOTE,824
VOTE_PHOTO,29
CREATE_DOCUMENT,49710
DOCUMENT_DELETED,1739
GUEST,23412
LIKE,15554
LINK_CLICK,121
MARK_PHOTO,8465
PHOTO_TEXT,88
RE_SHARE,81
SEND_PRESENT,90
VIDEO_CALL_INCOMING,10
VIDEO_CALL,5
VOTE,477
VOTE_PHOTO,79
CREATE_DOCUMENT,57902
DOCUMENT_DELETED,1429
GUEST,21469
LIKE,12099
LINK_CLICK,270
MARK_PHOTO,2617
PHOTO_TEXT,138
RE_SHARE,140
SEND_PRESENT,90
VIDEO_CALL_INCOMING,17
VIDEO_CALL,1
VOTE,355
VOTE_PHOTO,43
CREATE_DOCUMENT,44249
DOCUMENT_DELETED,2391
GUEST,25659
LIKE,19416
LINK_CLICK,1194
MARK_PHOTO,5323
PHOTO_TEXT,57
RE_SHARE,161
SEND_PRESENT,55
VIDEO_CALL_INCOMING,11
VIDEO_CALL,5
VOTE,797
VOTE_PHOTO,43
CREATE_DOCUMENT,41014
DOCUMENT_DELETED,1431
GUEST,16432
LIKE,27303
LINK_CLICK,447
MARK_PHOTO,7785
PHOTO_TEXT,30
RE_SHARE,128
SEND_PRESENT,38
VIDEO_CALL_INCOMING,57
VIDEO_CALL,22
VOTE,299
VOTE_PHOTO,18
CREATE_DOCUMENT,40801
DOCUMENT_DELETED,885
GUEST,23739
LIKE,24289
LINK_CLICK,366
MARK_PHOTO,6456
PHOTO_TEXT,54
RE_SHARE,134
SEND_PRESENT,90
VIDEO_CALL_INCOMING,13
VIDEO_CALL,27
VOTE,340
VOTE_PHOTO,22
